,name,Clothes,Ears,Eyes,Fur,Hat,Mouth,asset_id,trait_n,Clothes_rarity,Ears_rarity,Eyes_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,trait_n_rarity,factoral_rarity,rarity_rank
0,ApeGang #4266,Hippie,,Albino,Ghost,,Joint,3491,4,0.0247,0.7565,0.017,0.0007,0.3096,0.0325,0.3968,1565.7220312279005,6
1,ApeGang #187,Magician,,,Alien,Cap,Drool Rainbow,3491,4,0.0277,0.7565,0.3104,0.0012,0.0175,0.0326,0.3968,964.31580797474,20
2,ApeGang #9891,,,Monocle,Alien,Laurel,Mustache,3491,4,0.2202,0.7565,0.034,0.0012,0.0208,0.0302,0.3968,952.3179683205628,22
3,ApeGang #2449,Vader,,,Robot,Vader,,3491,3,0.0001,0.7565,0.3104,0.0035,0.0001,0.3141,0.2239,20297.90779131213,2
4,ApeGang #4348,Red Hawaiian Shirt,Diamond Stud,,Ghost,Red NBA Headband,,3491,4,0.0283,0.0483,0.3104,0.0007,0.0202,0.3141,0.3968,1543.0415120934565,9
5,ApeGang #79,Black Tank Top,,,Ghost,Brown Beanie,Oh,3491,4,0.0227,0.7565,0.3104,0.0007,0.0187,0.0286,0.3968,1568.1289506417556,5
6,ApeGang #2033,Blue Hoodie,,,Zebra,Iron Man,,3491,3,0.0233,0.7565,0.3104,0.0481,0.0015,0.3141,0.2239,742.5686479901522,38
7,ApeGang #5914,Devil Wings,,Sad,Brown,Joker Hair,Beard,3491,5,0.0045,0.7565,0.0322,0.4242,0.0036,0.0309,0.2848,570.6088517835351,51
8,ApeGang #1098,Angel Wings,,Eye Patch,Robot,Red NBA Headband,,3491,4,0.0061,0.7565,0.0336,0.0035,0.0202,0.3141,0.3968,535.9413050152747,54
9,ApeGang #1894,White Tank Top,Bluetooth Earpiece,3D Glasses,Brown,Joker Hair,Tongue Out,3491,6,0.0224,0.052,0.0315,0.4242,0.0036,0.0316,0.0546,425.71540242770976,87
10,ApeGang #7642,Hotel Porter,Silver Hoop,Scar,Brown,Batman,Angry,3491,6,0.0228,0.0482,0.0347,0.4242,0.0037,0.0309,0.0546,416.73010762086307,96
11,ApeGang #4543,Joker,Airpods,,Brown,Batman,Cigarette,3491,5,0.012,0.0475,0.3104,0.4242,0.0037,0.0323,0.2848,414.706251539127,102
12,ApeGang #9233,Devil Wings,,Blind,Strong Dark Brown,Cap,Flames,3491,5,0.0045,0.7565,0.0144,0.1097,0.0175,0.0341,0.2848,392.0839203090827,118
13,ApeGang #5828,White Tank Top,,,Zebra,Batman,,3491,3,0.0224,0.7565,0.3104,0.0481,0.0037,0.3141,0.2239,347.8966538009906,200
14,ApeGang #8853,Devil Wings,Bluetooth Earpiece,,Brown,Green Beanie,Mustache,3491,5,0.0045,0.052,0.3104,0.4242,0.0166,0.0302,0.2848,343.8968021244647,207
15,ApeGang #1767,Space Suit,,Laser,Brown,Chef's,,3491,4,0.0046,0.7565,0.0167,0.4242,0.0188,0.3141,0.3968,339.8461496400152,210
16,ApeGang #8451,Angel Wings,,Black Sunglasses,Red Devil,Crown,Tongue Out,3491,5,0.0061,0.7565,0.0453,0.0162,0.0189,0.0316,0.2848,337.12661202966973,211
17,ApeGang #7562,,,,Cream,Joker Hair,Nose Ring,3491,3,0.2202,0.7565,0.3104,0.0845,0.0036,0.0318,0.2239,334.60977039119103,215
18,ApeGang #4402,Grey Striped T-Shirt,,,Brown,Joker Hair,,3491,3,0.0259,0.7565,0.3104,0.4242,0.0036,0.3141,0.2239,330.93870058066113,218
19,ApeGang #3566,Devil Wings,Silver Hoop,Cyclops,Grey,,,3491,4,0.0045,0.0482,0.0183,0.0815,0.3096,0.3141,0.3968,318.81769249180377,246
20,ApeGang #7693,Devil Wings,,Bruised,Brown,Borsalino,,3491,4,0.0045,0.7565,0.0345,0.4242,0.021,0.3141,0.3968,308.2098934971756,260
21,ApeGang #8665,Angel Wings,,Round Glasses,Brown,Sombrero,Cigarette,3491,5,0.0061,0.7565,0.0348,0.4242,0.0185,0.0323,0.2848,284.87435640494317,289
22,ApeGang #3490,Space Suit,,Closed,Cream,,,3491,3,0.0046,0.7565,0.0302,0.0845,0.3096,0.3141,0.2239,274.5400369294233,305
23,ApeGang #6886,Batman,,Robot Glasses,Red Devil,Horn,Flames,3491,5,0.0123,0.7565,0.0249,0.0162,0.0183,0.0341,0.2848,271.993285600279,311
24,ApeGang #8146,Angel Wings,,,Grey,Cowboy,Grillz,3491,4,0.0061,0.7565,0.3104,0.0815,0.0184,0.0378,0.3968,264.07090526208947,324
25,ApeGang #4911,Angel Wings,Silver Hoop,Scar,Black,,Shocked,3491,5,0.0061,0.0482,0.0347,0.0868,0.3096,0.0316,0.2848,263.4072750630528,325
26,ApeGang #6396,Hippie,Silver Hoop,Squinting,Tiger,Green Beanie,Covid Mask,3491,6,0.0247,0.0482,0.016,0.0517,0.0166,0.029,0.0546,256.1138184853405,347
27,ApeGang #109,Fireman,Airpods,High,Strong Dark Brown,Green Beanie,Angry,3491,6,0.0236,0.0475,0.0148,0.1097,0.0166,0.0309,0.0546,251.02729250240154,363
28,ApeGang #1305,Fireman,,Cyclops,Red Devil,Party,Corn,3491,5,0.0236,0.7565,0.0183,0.0162,0.018,0.0326,0.2848,249.8096003626415,366
